"Component  ","Description  ","Line length  ","R (per km) propagation mode or sequence data [3] ","L (per km) propagation mode or sequence data [3] ","C (per km) propagation mode or sequence data [3] ","Base power  ","Base voltage  ","Base frequency  ","EMTP (.pun) file for line parameters calculation ","Continuously transposed line ","Transformation matrix Untransposed line [9] ","L-C units in EMTP (.pun) file "
line_3060_to_3151_1,0.0,60186.19720210977000,[1.417429255909072 0.1417429255909072 0.1417429255909072],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.887991405935145e-009 1.177598281187029e-008 1.177598281187029e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3060_to_3274_1,0.0,42983.14156269684000,[2.494043299295086 0.2494043299295086 0.2494043299295086],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.998304258294045e-009 9.996608516588091e-009 9.996608516588091e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3061_to_3151_1,0.0,45001.27804006001000,[1.374900170888901 0.1374900170888901 0.1374900170888901],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.041268515386845e-009 1.208253703077369e-008 1.208253703077369e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3061_to_3232_1,0.0,42280.7689647997000,[1.338414064061342 0.1338414064061342 0.1338414064061342],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.542121007311348e-009 1.10842420146227e-008 1.10842420146227e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3061_to_3272_1,0.0,8532.4151898712000,[1.792459270338711 0.1792459270338711 0.1792459270338711],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[4.666329428456817e-009 9.332658856913635e-009 9.332658856913635e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3061_to_3274_1,0.0,75798.72759362318000,[2.569499331211155 0.2569499331211155 0.2569499331211155],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.924162142565233e-009 9.848324285130466e-009 9.848324285130466e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3061_to_3492_1,0.0,55103.83994446775000,[1.341366964129693 0.1341366964129693 0.1341366964129693],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.506735249217444e-009 1.101347049843489e-008 1.101347049843489e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3061_to_3492_2,0.0,57683.63893755251000,[1.300963247609928 0.1300963247609929 0.1300963247609929],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.054813202813898e-009 1.01096264056278e-008 1.01096264056278e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3061_to_3492_3,0.0,57776.77318067133000,[1.235281851262547 0.1235281851262547 0.1235281851262547],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.141045488487495e-009 1.028209097697499e-008 1.028209097697499e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3063_to_3164_1,0.0,7289.636160330493000,[2.495530345148653 0.2495530345148653 0.2495530345148653],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[5.840683928955501e-009 1.1681367857911e-008 1.1681367857911e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3063_to_3165_1,0.0,28839.28685596096000,[2.663703506159774 0.2663703506159775 0.2663703506159775],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.343374192893527e-009 1.068674838578705e-008 1.068674838578705e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3063_to_3169_1,0.0,55237.73287845611000,[2.535873489689944 0.2535873489689944 0.2535873489689944],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.329508415206754e-009 1.065901683041351e-008 1.065901683041351e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3063_to_3196_1,0.0,29040.50753231982000,[1.363875762499844 0.1363875762499843 0.1363875762499843],[0.004774648292756862 0.001591549430918953 0.001591549430918953],[6.366561019145973e-009 1.273312203829195e-008 1.273312203829195e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3063_to_3262_1,0.0,20552.41671062122000,[1.334901678469518 0.1334901678469518 0.1334901678469518],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.259833235731561e-009 1.251966647146312e-008 1.251966647146312e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3063_to_3277_1,0.0,23543.502410718000,[2.729456874683027 0.2729456874683027 0.2729456874683027],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.306046455937675e-009 1.061209291187535e-008 1.061209291187535e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3063_to_3285_1,0.0,8535.723069106034000,[1.429649950501106 0.1429649950501106 0.1429649950501106],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.980560128089287e-009 1.196112025617857e-008 1.196112025617857e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3065_to_3165_1,0.0,35300.82697213486000,[2.708358277063005 0.2708358277063005 0.2708358277063005],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.977359217588416e-009 9.954718435176832e-009 9.954718435176832e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3065_to_3167_1,0.0,33016.92515806517000,[1.278667598232266 0.1278667598232266 0.1278667598232266],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.060091436156879e-009 1.012018287231376e-008 1.012018287231376e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3065_to_3277_1,0.0,39442.5832246117000,[2.621116344250574 0.2621116344250575 0.2621116344250575],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.354887434652806e-009 1.070977486930561e-008 1.070977486930561e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3067_to_3068_1,0.0,8490.13356218852000,[2.555941200376283 0.2555941200376283 0.2555941200376283],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.074129710101734e-009 1.014825942020347e-008 1.014825942020347e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3068_to_3096_1,0.0,29763.40854581815000,[2.079969115172364 0.2079969115172365 0.2079969115172365],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.049331225034487e-009 1.009866245006897e-008 1.009866245006897e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3068_to_3259_1,0.0,27964.43195614423000,[1.928569983807666 0.1928569983807666 0.1928569983807666],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.218164961621827e-009 1.043632992324365e-008 1.043632992324365e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3069_to_3201_1,0.0,14448.74012808461000,[1.435277011697283 0.1435277011697283 0.1435277011697283],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.300004061503539e-009 1.260000812300708e-008 1.260000812300708e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3069_to_3201_2,0.0,15454.29844297368000,[1.132897676469601 0.1132897676469602 0.1132897676469602],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.645446655826906e-009 1.129089331165381e-008 1.129089331165381e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3072_to_3116_1,0.0,16962.29236890832000,[1.739582366388929 0.1739582366388929 0.1739582366388929],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.128328785031582e-008 2.256657570063165e-008 2.256657570063165e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3072_to_3479_1,0.0,10178.11500477192000,[1.497147867699839 0.1497147867699839 0.1497147867699839],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.05209329325768e-009 1.210418658651536e-008 1.210418658651536e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3073_to_3116_2,0.0,16892.80396000471000,[1.796600659528688 0.1796600659528688 0.1796600659528688],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.57178126574582e-009 1.114356253149164e-008 1.114356253149164e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3073_to_3479_2,0.0,10134.25039690803000,[1.551809790146347 0.1551809790146347 0.1551809790146347],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.134254315876995e-009 1.226850863175399e-008 1.226850863175399e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3074_to_3234_1,0.0,1373.674961393761000,[0.9927256793724452 0.09927256793724454 0.09927256793724454],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.634529691632564e-009 1.326905938326513e-008 1.326905938326513e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3074_to_3235_2,0.0,1413.086801395625000,[0.9578878838786147 0.09578878838786146 0.09578878838786146],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.07901094013354e-009 1.215802188026708e-008 1.215802188026708e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3076_to_3097_1,0.0,714.7863888286871000,[1.010407779291002 0.1010407779291002 0.1010407779291002],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[7.500196530388888e-009 1.500039306077778e-008 1.500039306077778e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3076_to_3098_2,0.0,729.4341983349708000,[1.027802342540271 0.1027802342540271 0.1027802342540271],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.488214460212784e-009 1.497642892042557e-008 1.497642892042557e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3076_to_3276_1,0.0,2346.939906113777000,[2.61457169195829 0.261457169195829 0.261457169195829],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.310558005185005e-009 1.262111601037001e-008 1.262111601037001e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3076_to_3283_1,0.0,1700.998726913292000,[3.173003310433186 0.3173003310433186 0.3173003310433186],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.410727772585757e-009 1.282145554517151e-008 1.282145554517151e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3076_to_3401_1,0.0,1686.723538280579000,[3.143583734466151 0.3143583734466152 0.3143583734466152],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.736147345670083e-009 1.347229469134017e-008 1.347229469134017e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3077_to_3643_1,0.0,3209.613661525278000,[2.782329896449969 0.2782329896449969 0.2782329896449969],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.442844552319131e-009 1.088568910463826e-008 1.088568910463826e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3078_to_3643_2,0.0,3428.838542218803000,[2.54272378877247 0.254272378877247 0.254272378877247],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.162127750299221e-009 1.032425550059844e-008 1.032425550059844e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3080_to_3189_1,0.0,38564.54210539589000,[0.9018384853107517 0.09018384853107517 0.09018384853107517],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.990194250481321e-009 9.980388500962642e-009 9.980388500962642e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3080_to_3240_1,0.0,19076.14276549129000,[0.9957439089548554 0.09957439089548555 0.09957439089548555],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.409059634066753e-009 1.081811926813351e-008 1.081811926813351e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3080_to_3523_1,0.0,79916.0530486179000,[0.6864838579209913 0.06864838579209914 0.06864838579209914],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[9.784852421267482e-009 1.956970484253496e-008 1.956970484253496e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3080_to_3529_1,0.0,97353.3978570475000,[0.7378448501727698 0.07378448501727698 0.07378448501727698],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.244111807539746e-008 2.488223615079492e-008 2.488223615079492e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3083_to_3182_1,0.0,69140.45659216612000,[0.9576609569269859 0.0957660956926986 0.0957660956926986],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[3.858678753756603e-009 7.717357507513206e-009 7.717357507513206e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3083_to_3240_1,0.0,32611.91031938934000,[0.9488554922211532 0.09488554922211531 0.09488554922211531],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.011642870481173e-009 1.002328574096235e-008 1.002328574096235e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3086_to_3523_1,0.0,1067.322854544835000,[2.743644825443109 0.274364482544311 0.274364482544311],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.540807828323272e-009 1.108161565664654e-008 1.108161565664654e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3088_to_3092_2,0.0,4605.433047710362000,[2.593775450728834 0.2593775450728834 0.2593775450728834],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.1156128598118e-009 1.02312257196236e-008 1.02312257196236e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3088_to_3523_1,0.0,11024.67413888567000,[2.679661317202945 0.2679661317202944 0.2679661317202944],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.759374165509232e-009 1.151874833101846e-008 1.151874833101846e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3089_to_3093_1,0.0,4484.137944712292000,[2.706728694717931 0.2706728694717931 0.2706728694717931],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.477628412932253e-009 1.095525682586451e-008 1.095525682586451e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3089_to_3523_2,0.0,12735.53430114554000,[2.560981994361899 0.2560981994361899 0.2560981994361899],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.2846698755321e-009 1.05693397510642e-008 1.05693397510642e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3094_to_3225_1,0.0,44357.79030733553000,[2.456281439401217 0.2456281439401217 0.2456281439401217],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.250972770626305e-009 1.050194554125261e-008 1.050194554125261e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3094_to_3225_2,0.0,43605.21141063558000,[2.6674850029467 0.26674850029467 0.26674850029467],[0.004774648292756862 0.001591549430918953 0.001591549430918953],[5.218295876313228e-009 1.043659175262646e-008 1.043659175262646e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3094_to_3516_1,0.0,77933.14835894201000,[1.19505391506548 0.1195053915065479 0.1195053915065479],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[7.261521909469797e-009 1.452304381893959e-008 1.452304381893959e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3094_to_3516_2,0.0,75995.52772487259000,[1.226424655199317 0.1226424655199317 0.1226424655199317],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.279190700838581e-009 1.255838140167716e-008 1.255838140167716e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3096_to_3198_1,0.0,3806.835104477922000,[1.406501501667395 0.1406501501667395 0.1406501501667395],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.088826015194609e-009 1.217765203038922e-008 1.217765203038922e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3096_to_3199_2,0.0,3930.68953370954000,[1.290739226557873 0.1290739226557873 0.1290739226557873],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.760049386824144e-009 1.152009877364829e-008 1.152009877364829e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3096_to_3207_2,0.0,1759.951823234137000,[1.061983545669005 0.1061983545669005 0.1061983545669005],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.918172456087621e-009 1.183634491217524e-008 1.183634491217524e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3096_to_3208_1,0.0,1682.474418512445000,[1.099737054911477 0.1099737054911477 0.1099737054911477],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.383629243907441e-009 1.276725848781488e-008 1.276725848781488e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3096_to_3209_3,0.0,4886.032665507438000,[0.9791539558534921 0.09791539558534922 0.09791539558534922],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.644127304695158e-009 1.128825460939032e-008 1.128825460939032e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3096_to_3259_1,0.0,59301.39359705689000,[1.96539673832486 0.196539673832486 0.196539673832486],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.521535117204214e-009 1.104307023440843e-008 1.104307023440843e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3096_to_3486_1,0.0,12564.95030431076000,[0.9264764836457925 0.09264764836457925 0.09264764836457925],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.536326137534389e-009 1.307265227506878e-008 1.307265227506878e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3096_to_3486_2,0.0,11567.40816317816000,[1.056471124628613 0.1056471124628613 0.1056471124628613],[0.004774648292756861 0.001591549430918954 0.001591549430918954],[6.738003196615785e-009 1.347600639323157e-008 1.347600639323157e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3099_to_3491_1,0.0,61309.70107792655000,[4.560824037517118 0.4560824037517117 0.4560824037517117],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.01998605836624e-009 1.003997211673248e-008 1.003997211673248e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3099_to_3491_2,0.0,56279.63890230843000,[1.443635089664492 0.1443635089664493 0.1443635089664493],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.599415689911264e-009 1.119883137982253e-008 1.119883137982253e-008],33333333.33333333,63508.52961085884,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3101_to_3634_2,0.0,24914.99807512262000,[1.993023450190578 0.1993023450190578 0.1993023450190578],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.968144877559245e-009 1.193628975511849e-008 1.193628975511849e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3102_to_3634_1,0.0,17693.13064373054000,[0.7415013388528252 0.07415013388528252 0.07415013388528252],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.813100546664803e-009 1.362620109332961e-008 1.362620109332961e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3106_to_3482_1,0.0,17320.45860588781000,[1.991831699915736 0.1991831699915736 0.1991831699915736],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.826798917008754e-009 1.165359783401751e-008 1.165359783401751e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3108_to_3159_1,0.0,14472.39514726325000,[2.62143163971439 0.262143163971439 0.262143163971439],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.212485491036215e-009 1.042497098207243e-008 1.042497098207243e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3108_to_3201_1,0.0,29339.21282957772000,[1.15460946831542 0.115460946831542 0.115460946831542],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.876065912948231e-009 1.175213182589646e-008 1.175213182589646e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3108_to_3243_2,0.0,8651.371296687429000,[1.525838611142553 0.1525838611142553 0.1525838611142553],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.757366521254723e-009 1.351473304250945e-008 1.351473304250945e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3108_to_3244_1,0.0,9051.662372921825000,[1.427838357344055 0.1427838357344055 0.1427838357344055],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.781743492146306e-009 1.356348698429261e-008 1.356348698429261e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3108_to_3258_1,0.0,9732.59998828307000,[2.043432087372352 0.2043432087372352 0.2043432087372352],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.316520875098141e-009 1.263304175019628e-008 1.263304175019628e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3108_to_3483_1,0.0,61840.01211124344000,[1.305636938313503 0.1305636938313503 0.1305636938313503],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.675801520477568e-009 1.135160304095514e-008 1.135160304095514e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3111_to_3196_1,0.0,15959.05123596683000,[1.30905378790097 0.130905378790097 0.130905378790097],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.027197370648169e-009 1.205439474129634e-008 1.205439474129634e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3111_to_3483_1,0.0,27600.21447276619000,[1.307673496768655 0.1307673496768655 0.1307673496768655],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.228512530562319e-009 1.245702506112464e-008 1.245702506112464e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_3114_to_3172_1,0.0,76903.69322356827000,[2.735508333940623 0.2735508333940623 0.2735508333940623],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.921861092395511e-009 9.843722184791022e-009 9.843722184791022e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
