"Component  ","Description  ","Primary winding connection ","Primary resistance [3] ","Primary leakage inductance [3] ","Primary winding voltage [3] ","Secondary winding connection ","Secondary resistance [3] ","Secondary leakage inductance [3] ","Secondary winding voltage [3] ","Magnetization resistance [3] ","Magnetization inductance [3] ","Primary neutral resistance [4] ","Primary neutral inductance [4] ","Primary neutral capacitance [4] ","Secondary neutral resistance [4] ","Secondary neutral inductance [4] ","Secondary neutral capacitance [4] ","Base primary winding voltage ","Base secondary winding voltage ","Base power  ","Base frequency  "
xf_3614_to_3536_3,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[158771.3240271471000 158771.3240271471000 158771.3240271471000],Yg,[0.1107798639543313 0.1107798639543313 0.1107798639543313],[0.02799590266925856 0.02799590266925856 0.02799590266925856],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,76210.2355330306,33333333.33333333,50
xf_3614_to_3536_4,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[158771.3240271471000 158771.3240271471000 158771.3240271471000],Yg,[0.1085585761322657 0.1085585761322657 0.1085585761322657],[0.02675320975271638 0.02675320975271638 0.02675320975271638],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,76210.2355330306,33333333.33333333,50
xf_3615_to_3537_2,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[158771.3240271471000 158771.3240271471000 158771.3240271471000],Yg,[0.07207900721659752 0.07207900721659752 0.07207900721659752],[0.02718605219425617 0.02718605219425617 0.02718605219425617],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,76210.2355330306,33333333.33333333,50
xf_3615_to_3538_1,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[158771.3240271471000 158771.3240271471000 158771.3240271471000],Yg,[0.08671281167471415 0.08671281167471415 0.08671281167471415],[0.02789570547351846 0.02789570547351846 0.02789570547351846],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,76210.2355330306,33333333.33333333,50
xf_3617_to_3618_1,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[158771.3240271471000 158771.3240271471000 158771.3240271471000],Yg,[0.1111161187915237 0.1111161187915237 0.1111161187915237],[0.02751816463737899 0.02751816463737899 0.02751816463737899],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,76210.2355330306,33333333.33333333,50
xf_3617_to_3618_2,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[158771.3240271471000 158771.3240271471000 158771.3240271471000],Yg,[0.1141395448645301 0.1141395448645301 0.1141395448645301],[0.02663431496828826 0.02663431496828826 0.02663431496828826],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,76210.2355330306,33333333.33333333,50
xf_3619_to_3539_1,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[158771.3240271471000 158771.3240271471000 158771.3240271471000],Yg,[0.1200707885633558 0.1200707885633558 0.1200707885633558],[0.02831306686644299 0.02831306686644299 0.02831306686644299],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,76210.2355330306,33333333.33333333,50
xf_3620_to_3539_2,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[158771.3240271471000 158771.3240271471000 158771.3240271471000],Yg,[0.1242327201533563 0.1242327201533563 0.1242327201533563],[0.02855248149782054 0.02855248149782054 0.02855248149782054],[76210.2355330306000 76210.2355330306000 76210.2355330306000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,76210.2355330306,33333333.33333333,50
xf_3621_to_3541_2,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[166289.1462198325000 166289.1462198325000 166289.1462198325000],Yg,[0.01723088535321619 0.01723088535321619 0.01723088535321619],[0.001871828091667359 0.001871828091667359 0.001871828091667359],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,12701.70592217177,33333333.33333333,50
xf_3622_to_3541_1,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[166289.1462198325000 166289.1462198325000 166289.1462198325000],Yg,[0.01593758606082836 0.01593758606082836 0.01593758606082836],[0.001902295113929539 0.001902295113929539 0.001902295113929539],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,12701.70592217177,33333333.33333333,50
xf_3623_to_3647_1,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[63508.52961085884000 63508.52961085884000 63508.52961085884000],Yg,[0.09423858265172938 0.09423858265172938 0.09423858265172938],[0.00701543672685559 0.00701543672685559 0.00701543672685559],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,19052.55888325765,33333333.33333333,50
xf_3623_to_3647_2,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[63508.52961085884000 63508.52961085884000 63508.52961085884000],Yg,[0.04466585062361579 0.04466585062361579 0.04466585062361579],[0.005368991558054301 0.005368991558054301 0.005368991558054301],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,19052.55888325765,33333333.33333333,50
xf_3623_to_3647_3,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[63508.52961085884000 63508.52961085884000 63508.52961085884000],Yg,[0.04274029953132975 0.04274029953132975 0.04274029953132975],[0.005151963633469037 0.005151963633469037 0.005151963633469037],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,19052.55888325765,33333333.33333333,50
xf_3625_to_3007_1,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[64461.15755502171000 64461.15755502171000 64461.15755502171000],Yg,[0.08807566840529693 0.08807566840529693 0.08807566840529693],[0.008769524445037756 0.008769524445037756 0.008769524445037756],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,19052.55888325765,33333333.33333333,50
xf_3625_to_3007_2,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[64461.15755502171000 64461.15755502171000 64461.15755502171000],Yg,[0.08834897547266907 0.08834897547266907 0.08834897547266907],[0.008645293042651813 0.008645293042651813 0.008645293042651813],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,19052.55888325765,33333333.33333333,50
xf_3626_to_3071_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[63635.54667008055000 63635.54667008055000 63635.54667008055000],Yg,[0.1554069692249372 0.1554069692249372 0.1554069692249372],[0.01494387035565816 0.01494387035565816 0.01494387035565816],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_3626_to_3071_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[83069.15673100336000 83069.15673100336000 83069.15673100336000],Yg,[0.1108319639615575 0.1108319639615575 0.1108319639615575],[0.01424754085182832 0.01424754085182832 0.01424754085182832],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_3629_to_3082_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78115.49142135637000 78115.49142135637000 78115.49142135637000],Yg,[0.2800001841942602 0.2800001841942602 0.2800001841942602],[0.01549270277056654 0.01549270277056654 0.01549270277056654],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,12701.70592217177,33333333.33333333,50
xf_3630_to_3331_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.03123665234321276 0.03123665234321276 0.03123665234321276],[0.005421815748345825 0.005421815748345825 0.005421815748345825],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,12701.70592217177,33333333.33333333,50
xf_3631_to_3087_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.05142395063168855 0.05142395063168855 0.05142395063168855],[0.004809802499132807 0.004809802499132807 0.004809802499132807],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,12701.70592217177,33333333.33333333,50
xf_3632_to_3087_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.05463614451703529 0.05463614451703529 0.05463614451703529],[0.004902058792083039 0.004902058792083039 0.004902058792083039],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,12701.70592217177,33333333.33333333,50
xf_3633_to_3511_6,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[65890.09947126604000 65890.09947126604000 65890.09947126604000],Yg,[0.04740053197310203 0.04740053197310203 0.04740053197310203],[0.005393179828226658 0.005393179828226658 0.005393179828226658],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,19052.55888325765,33333333.33333333,50
xf_3633_to_3512_5,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[65890.09947126604000 65890.09947126604000 65890.09947126604000],Yg,[0.04837085681918213 0.04837085681918213 0.04837085681918213],[0.005401139512814896 0.005401139512814896 0.005401139512814896],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,19052.55888325765,33333333.33333333,50
xf_3633_to_3515_3,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[59539.24651018016000 59539.24651018016000 59539.24651018016000],Yg,[0.02506908729897484 0.02506908729897484 0.02506908729897484],[0.002341169010929888 0.002341169010929888 0.002341169010929888],[6177.47467524824000 6177.47467524824000 6177.47467524824000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,33333333.33333333,50
xf_3633_to_3641_7,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[65890.09947126604000 65890.09947126604000 65890.09947126604000],Yg,[0.04554534196685582 0.04554534196685582 0.04554534196685582],[0.005395254500118024 0.005395254500118024 0.005395254500118024],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,19052.55888325765,33333333.33333333,50
xf_3636_to_3543_1,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[62654.33988759279000 62654.33988759279000 62654.33988759279000],Yg,[0.710250315104352 0.710250315104352 0.710250315104352],[0.1263433886433927 0.1263433886433927 0.1263433886433927],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,158771.3240271471,33333333.33333333,50
xf_3636_to_3543_4,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[62654.33988759279000 62654.33988759279000 62654.33988759279000],Yg,[0.5200557801980786 0.5200557801980786 0.5200557801980786],[0.1224825466528173 0.1224825466528173 0.1224825466528173],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,158771.3240271471,33333333.33333333,50
xf_3636_to_3543_5,0.0,Yg,[1.21e-007 1.21e-007 1.21e-007],[3.851549622823868e-010 3.851549622823868e-010 3.851549622823868e-010],[62654.33988759279000 62654.33988759279000 62654.33988759279000],Yg,[0.6506097033601254 0.6506097033601254 0.6506097033601254],[0.1260445865376423 0.1260445865376423 0.1260445865376423],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,158771.3240271471,33333333.33333333,50
xf_3637_to_3416_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.009132521968979781 0.009132521968979781 0.009132521968979781],[0.0004062148508956863 0.0004062148508956863 0.0004062148508956863],[3810.511776651531000 3810.511776651531000 3810.511776651531000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,3810.51177665153,33333333.33333333,50
xf_3637_to_3420_4,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.003185917637993634 0.003185917637993634 0.003185917637993634],[0.0003843482384386597 0.0003843482384386597 0.0003843482384386597],[9526.279441628825000 9526.279441628825000 9526.279441628825000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,9093.266739736606,33333333.33333333,50
xf_3638_to_3038_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75257.60758886771000 75257.60758886771000 75257.60758886771000],Yg,[0.01533575517364128 0.01533575517364128 0.01533575517364128],[0.001649869114914184 0.001649869114914184 0.001649869114914184],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_3639_to_3038_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75257.60758886771000 75257.60758886771000 75257.60758886771000],Yg,[0.01541926699688172 0.01541926699688172 0.01541926699688172],[0.001569797429495233 0.001569797429495233 0.001569797429495233],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_3640_to_3585_1,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[171040.0172474266000 171040.0172474266000 171040.0172474266000],Yg,[0.002317393162906544 0.002317393162906544 0.002317393162906544],[0.0004988904071666957 0.0004988904071666957 0.0004988904071666957],[12124.35565298214000 12124.35565298214000 12124.35565298214000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,11547.00538379252,33333333.33333333,50
xf_3640_to_3586_2,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[171040.0172474266000 171040.0172474266000 171040.0172474266000],Yg,[0.002785745370082556 0.002785745370082556 0.002785745370082556],[0.0005444290546022573 0.0005444290546022573 0.0005444290546022573],[12124.35565298214000 12124.35565298214000 12124.35565298214000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,11547.00538379252,33333333.33333333,50
xf_3640_to_3587_3,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[171040.0172474266000 171040.0172474266000 171040.0172474266000],Yg,[0.002433281052410604 0.002433281052410604 0.002433281052410604],[0.0005275406061295166 0.0005275406061295166 0.0005275406061295166],[12124.35565298214000 12124.35565298214000 12124.35565298214000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,11547.00538379252,33333333.33333333,50
xf_3640_to_3588_4,0.0,Yg,[7.562500000000001e-007 7.562500000000001e-007 7.562500000000001e-007],[2.407218514264917e-009 2.407218514264917e-009 2.407218514264917e-009],[171040.0172474266000 171040.0172474266000 171040.0172474266000],Yg,[0.002546570986865088 0.002546570986865088 0.002546570986865088],[0.0005218772906703791 0.0005218772906703791 0.0005218772906703791],[12124.35565298214000 12124.35565298214000 12124.35565298214000],[756250000 756250000 756250000],[2407218.514264917 2407218.514264917 2407218.514264917],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],158771.3240271471,11547.00538379252,33333333.33333333,50
xf_3643_to_3215_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[77162.86347719347000 77162.86347719347000 77162.86347719347000],Yg,[0.05053770082343596 0.05053770082343596 0.05053770082343596],[0.002390796696013106 0.002390796696013106 0.002390796696013106],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_3643_to_3215_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[77162.86347719347000 77162.86347719347000 77162.86347719347000],Yg,[0.05009784434578543 0.05009784434578543 0.05009784434578543],[0.002370066255610001 0.002370066255610001 0.002370066255610001],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_3646_to_3122_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74304.97964470483000 74304.97964470483000 74304.97964470483000],Yg,[0.141931108387745 0.141931108387745 0.141931108387745],[0.01655073100942693 0.01655073100942693 0.01655073100942693],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_3646_to_3122_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74304.97964470483000 74304.97964470483000 74304.97964470483000],Yg,[0.1546505035523336 0.1546505035523336 0.1546505035523336],[0.01702900682711371 0.01702900682711371 0.01702900682711371],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_3651_to_3650_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75364.30191861396000 75364.30191861396000 75364.30191861396000],Yg,[3.790712811501552 3.790712811501552 3.790712811501552],[0.4313971722323009 0.4313971722323009 0.4313971722323009],[190525.5888325765000 190525.5888325765000 190525.5888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,190525.5888325765,33333333.33333333,50
xf_3653_to_3655_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[199185.8428704209000 199185.8428704209000 199185.8428704209000],Yg,[0.001145915929844439 0.001145915929844439 0.001145915929844439],[0.0002355591482045542 0.0002355591482045542 0.0002355591482045542],[10854.18506076497000 10854.18506076497000 10854.18506076497000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,10969.65511460289,33333333.33333333,50
xf_3654_to_3656_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[199185.8428704209000 199185.8428704209000 199185.8428704209000],Yg,[0.001210576358282534 0.001210576358282534 0.001210576358282534],[0.000245767713297928 0.000245767713297928 0.000245767713297928],[10854.18506076497000 10854.18506076497000 10854.18506076497000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,10969.65511460289,33333333.33333333,50
