"Component  ","Description  ","Dynamic load status ","External control of P and Q ","Measuring filter status ","Base power  ","Base voltage  ","Base frequency  ","U0  ","P0  ","Q0  ","Vmin  ","Rs  ","Ls  ","Rp  ","Lp  ","Cp  ","np  ","nq  ","kp  ","kq  ","Tp1  ","Tp2  ","Tq1  ","Tq2  "
load_P_3142_1,0.0,1,0,1,100000000,66000,50,1.037871165941411,20580425.3481958,685927.609562734,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3142_2,0.0,1,0,1,100000000,66000,50,1.037871165941411,14557244.4515445,1156127.96401111,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3145_1,0.0,1,0,1,100000000,22000,50,0.8998054977563735,29795506.2082857,8592851.986785891,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3149_1,0.0,1,0,1,100000000,132000,50,1.024462609549166,1351336.75814392,-14844862.023361,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3152_1,0.0,1,0,1,100000000,132000,50,1.037922808190362,1348029.27457504,-7414696.87042199,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3154_3,0.0,1,0,1,100000000,11000,50,0.9978300000004913,176659.434401989,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3155_1,0.0,1,0,1,100000000,11000,50,1.000600000000457,4542752.51405905,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3156_2,0.0,1,0,1,100000000,11000,50,0.971880000000528,169302.481564041,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3157_1,0.0,1,0,1,100000000,132000,50,1.025030384550889,360311.170376837,-1240962.25132011,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3157_2,0.0,1,0,1,100000000,132000,50,1.025030384550889,365412.947824225,-1327511.66271102,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3159_1,0.0,1,0,1,100000000,132000,50,1.043853191586027,1925579.89855413,-22203619.7191654,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3160_1,0.0,1,0,1,100000000,132000,50,1.039736805500341,96242.93687753379,-6517962.14058283,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3160_2,0.0,1,0,1,100000000,132000,50,1.039736805500341,2687264.24327418,-7868391.99792431,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3162_1,0.0,1,0,1,100000000,132000,50,1.03525990207259,9343474.60674941,-12055209.7676729,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3163_1,0.0,1,0,1,100000000,110000,50,1.037107842609657,4795335.69826847,186476.131894905,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3163_2,0.0,1,0,1,100000000,110000,50,1.037107842609657,2113105.48407631,805695.001045661,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3163_3,0.0,1,0,1,100000000,110000,50,1.037107842609657,4572989.82354915,1215385.86664218,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3166_1,0.0,1,0,1,100000000,132000,50,1.034056794273774,2534275.29297536,-18719532.8405197,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3168_1,0.0,1,0,1,100000000,132000,50,1.035812126819504,1553297.6658708,-15693653.7575759,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3169_1,0.0,1,0,1,100000000,132000,50,1.037852516490176,95193.7989192083,-6814040.37035443,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3170_1,0.0,1,0,1,100000000,110000,50,1.049632542103755,3492483.74232836,1047358.08445923,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3171_2,0.0,1,0,1,100000000,110000,50,1.044582838928583,21888100.4933789,9408937.72218851,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3173_1,0.0,1,0,1,100000000,132000,50,1.040143631965375,96327.366316691,162336.149336956,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3173_2,0.0,1,0,1,100000000,132000,50,1.040143631965375,99788.7567756698,3926.06337182224,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3174_1,0.0,1,0,1,100000000,132000,50,1.030514083151308,102180.755608715,-7840396.94712683,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3174_2,0.0,1,0,1,100000000,132000,50,1.030514083151308,104236.948378384,6624492.97003448,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3176_1,0.0,1,0,1,100000000,66000,50,1.018701829807075,33658736.8571207,11636886.774293,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3177_1,0.0,1,0,1,100000000,110000,50,1.049386443853606,182544.517193129,1296226.56035023,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3178_2,0.0,1,0,1,100000000,11000,50,1.016585972033571,9199227.830302671,1609073.37999763,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3178_3,0.0,1,0,1,100000000,11000,50,1.016585972033571,9953412.40641894,1585969.05769338,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3179_4,0.0,1,0,1,100000000,11000,50,1.017085583933974,8778682.014649499,1558021.01268005,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3179_5,0.0,1,0,1,100000000,11000,50,1.017085583933974,8745775.33428031,1460600.30620787,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3183_1,0.0,1,0,1,100000000,22000,50,1.01673444594802,12139489.6643004,224613.460650202,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3183_2,0.0,1,0,1,100000000,22000,50,1.01673444594802,11777182.5718862,228882.707934221,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3186_1,0.0,1,0,1,100000000,66000,50,1.036757457812439,17947329.9622807,3929678.26266158,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3186_2,0.0,1,0,1,100000000,66000,50,1.036757457812439,17008916.3599092,4324842.90641937,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3188_1,0.0,1,0,1,100000000,66000,50,0.9849387996774258,22879167.6348818,1768578.86177106,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3191_1,0.0,1,0,1,100000000,22000,50,1.039026865397719,1118633.45123716,226199.602514505,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3191_2,0.0,1,0,1,100000000,22000,50,1.039026865397719,1169257.30778216,232545.896525122,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3193_1,0.0,1,0,1,100000000,33000,50,0.996731002767922,26748930.8958719,10504255.8136523,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3193_2,0.0,1,0,1,100000000,33000,50,0.996731002767922,26459296.4261169,10614536.7227077,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3193_3,0.0,1,0,1,100000000,33000,50,0.996731002767922,26982654.3500545,11028771.2057114,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3194_1,0.0,1,0,1,100000000,132000,50,1.014317652655015,6694243.69169753,8059028.04560214,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3200_1,0.0,1,0,1,100000000,33000,50,0.9689230902119995,33324768.4864308,5244131.87618968,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3200_2,0.0,1,0,1,100000000,33000,50,0.9689230902119995,32770494.0984454,5355575.89381677,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3202_1,0.0,1,0,1,100000000,66000,50,1.00216524535542,71464286.12054071,-3026895.57561306,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3202_2,0.0,1,0,1,100000000,66000,50,1.00216524535542,551857.380207628,2959912.89944947,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3203_1,0.0,1,0,1,100000000,110000,50,1.045692882580452,102365.530282259,-2862519.66512483,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3205_2,0.0,1,0,1,100000000,110000,50,1.046047993350425,97019.8737503961,-2709604.55569942,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3206_3,0.0,1,0,1,100000000,33000,50,1.018461503682984,34827373.7703033,7087470.83479352,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3206_4,0.0,1,0,1,100000000,33000,50,1.018461503682984,33455445.8821619,7215858.808506751,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3206_5,0.0,1,0,1,100000000,33000,50,1.018461503682984,35475359.2851073,6985241.69809348,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3211_1,0.0,1,0,1,100000000,132000,50,1.024736302651018,102551.670945249,-527247.212076094,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3215_1,0.0,1,0,1,100000000,11000,50,0.9831928999241613,18524456.110622,6646697.860769929,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3221_1,0.0,1,0,1,100000000,11000,50,1.020325391552447,30727547.0994026,11604889.750015,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3224_1,0.0,1,0,1,100000000,66000,50,1.025346266538539,103413.162226789,879647.6082198321,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3225_1,0.0,1,0,1,100000000,132000,50,1.011134209124248,1721793.30440722,-5249113.24217031,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3227_1,0.0,1,0,1,100000000,11000,50,1.003029346000803,12145415.6660772,1722834.60565293,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3228_2,0.0,1,0,1,100000000,11000,50,1.002871157574373,12307583.3534053,6865138.00219819,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3230_1,0.0,1,0,1,100000000,33000,50,1.018087299992078,22857286.0783361,7446993.82717595,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3230_2,0.0,1,0,1,100000000,33000,50,1.018087299992078,22123831.5984257,7655056.13040822,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3232_1,0.0,1,0,1,100000000,132000,50,1.029489714965591,9951511.411017461,1468824.21436533,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3233_1,0.0,1,0,1,100000000,132000,50,1.033406969970442,523214.652352594,1713126.51751544,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3236_1,0.0,1,0,1,100000000,11000,50,1.036903760189706,3146978.60788805,313679.421682097,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3236_2,0.0,1,0,1,100000000,11000,50,1.036903760189706,3054071.74692643,304274.968713429,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3236_3,0.0,1,0,1,100000000,11000,50,1.036903760189706,3012135.06692108,320759.839151893,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3239_1,0.0,1,0,1,100000000,33000,50,1.003129192107567,16020364.7876617,3189614.09997791,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3239_2,0.0,1,0,1,100000000,33000,50,1.003129192107567,15892792.1086224,3064628.77307553,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3240_1,0.0,1,0,1,100000000,132000,50,1.023765735802306,1654491.5114712,-502081.623944454,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3240_2,0.0,1,0,1,100000000,132000,50,1.023765735802306,1599516.59027897,-529771.9540357591,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3241_1,0.0,1,0,1,100000000,132000,50,1.043188201233487,3315412.63618916,-9416478.35418787,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3241_2,0.0,1,0,1,100000000,132000,50,1.043188201233487,3489793.96629743,-9514269.70695835,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3242_2,0.0,1,0,1,100000000,132000,50,1.041198849674888,18904157.8623296,-12077994.8416154,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3245_1,0.0,1,0,1,100000000,132000,50,1.031006609295841,95027.72800624371,-1748825.41350164,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3247_1,0.0,1,0,1,100000000,132000,50,1.02905039374249,103169.579831883,1413076.83156962,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3247_2,0.0,1,0,1,100000000,132000,50,1.02905039374249,97868.04846487939,1434030.54155358,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3248_1,0.0,1,0,1,100000000,132000,50,1.038591605235651,6668330.33374446,826876.8872350451,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3251_1,0.0,1,0,1,100000000,33000,50,0.9989959688440605,3276644.89796734,2275119.5251138,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3257_1,0.0,1,0,1,100000000,33000,50,1.009169655355773,16155426.9528498,6293710.96891155,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3258_1,0.0,1,0,1,100000000,132000,50,1.036419001025181,1883056.20952323,-7532460.26804019,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3260_1,0.0,1,0,1,100000000,66000,50,0.9925142706191995,39099949.2975593,34898063.3722483,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3261_1,0.0,1,0,1,100000000,132000,50,1.036565145787648,11483548.9672163,1549830.56300227,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3262_1,0.0,1,0,1,100000000,132000,50,1.018006532563811,9862205.830962161,4554688.56486026,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3262_2,0.0,1,0,1,100000000,132000,50,1.018006532563811,10534552.2495862,4796095.66655662,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3263_2,0.0,1,0,1,100000000,132000,50,1.036470356172734,24319014.4580565,4360446.657872289,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3263_3,0.0,1,0,1,100000000,132000,50,1.036470356172734,32195519.6088136,7422708.358542429,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3263_4,0.0,1,0,1,100000000,132000,50,1.036470356172734,20726665.3303397,4521642.44374349,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3264_1,0.0,1,0,1,100000000,15000,50,1.053789999999566,682281.481850985,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3267_1,0.0,1,0,1,100000000,66000,50,1.041751791946387,29089971.9892396,4043753.06206564,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3270_1,0.0,1,0,1,100000000,66000,50,1.035046810025078,5708285.16051918,1824386.14963694,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3270_2,0.0,1,0,1,100000000,66000,50,1.035046810025078,5597075.138908761,1725121.48773787,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3271_4,0.0,1,0,1,100000000,33000,50,1.034981142162456,28872566.8329159,5958847.86034375,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3271_5,0.0,1,0,1,100000000,33000,50,1.034981142162456,30765319.5007746,5743811.17280424,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3271_6,0.0,1,0,1,100000000,33000,50,1.034981142162456,30486381.7124991,5964717.31055453,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3272_1,0.0,1,0,1,100000000,132000,50,1.03369999999917,96640.5550064519,-17023346.1857289,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3273_1,0.0,1,0,1,100000000,132000,50,1.031919999999244,103330.18196281,-3285167.23376624,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3275_1,0.0,1,0,1,100000000,132000,50,1.030239999999427,103942.140280269,9267093.45893375,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3276_1,0.0,1,0,1,100000000,66000,50,1.034834466598855,14465873.6594862,4022942.07600234,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3276_2,0.0,1,0,1,100000000,66000,50,1.034834466598855,15478084.274988,4007852.02388917,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3277_2,0.0,1,0,1,100000000,132000,50,1.025893687193441,99417.752684094,205582.980806753,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3278_1,0.0,1,0,1,100000000,132000,50,1.034137179326238,15993363.7037832,3426092.25532394,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3278_2,0.0,1,0,1,100000000,132000,50,1.034137179326238,13920549.4744106,3549106.14891485,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3279_1,0.0,1,0,1,100000000,132000,50,1.028890858432265,22802530.475856,3473001.18036093,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3279_2,0.0,1,0,1,100000000,132000,50,1.028890858432265,22399122.3888807,4821148.567681669,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3280_1,0.0,1,0,1,100000000,132000,50,1.024892298427534,103649.868718348,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3280_2,0.0,1,0,1,100000000,132000,50,1.024892298427534,104979.625372216,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3280_3,0.0,1,0,1,100000000,132000,50,1.024892298427534,22146383.0639389,3546969.17524673,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3280_4,0.0,1,0,1,100000000,132000,50,1.024892298427534,21045848.6951757,3482407.52425157,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3281_3,0.0,1,0,1,100000000,66000,50,1.024964760305012,8614281.78050644,2961609.11915386,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3282_1,0.0,1,0,1,100000000,132000,50,1.037364128368037,68761519.150313,6715931.11965107,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3282_2,0.0,1,0,1,100000000,132000,50,1.037364128368037,72102053.79718921,7207253.02974461,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3283_1,0.0,1,0,1,100000000,66000,50,1.037946953243329,4280045.43401822,150991.385713592,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3283_2,0.0,1,0,1,100000000,66000,50,1.037946953243329,4227693.79259124,141454.692744184,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3284_1,0.0,1,0,1,100000000,132000,50,1.025063881114374,601023.870740086,-2871685.8226723,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3284_2,0.0,1,0,1,100000000,132000,50,1.025063881114374,621616.435015574,-3083399.45544074,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3285_1,0.0,1,0,1,100000000,132000,50,1.031229999998896,100658.07742998,-9029877.27264455,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3285_2,0.0,1,0,1,100000000,132000,50,1.031229999998896,16917078.4268281,-12193219.4220469,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3287_1,0.0,1,0,1,100000000,132000,50,1.034434088164897,22633980.4561598,2753120.83324594,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3287_2,0.0,1,0,1,100000000,132000,50,1.034434088164897,20843413.0169336,2875308.80029211,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3287_3,0.0,1,0,1,100000000,132000,50,1.034434088164897,20723962.2469421,5553840.59157101,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3288_1,0.0,1,0,1,100000000,132000,50,1.035284229687087,19257885.3089875,2617620.36986276,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3288_2,0.0,1,0,1,100000000,132000,50,1.035284229687087,19976931.8505721,4458598.07227487,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3289_1,0.0,1,0,1,100000000,132000,50,1.034822216151154,5592524.05223786,1653510.8633697,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3289_2,0.0,1,0,1,100000000,132000,50,1.034822216151154,6164234.91995912,1972077.00922741,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3290_1,0.0,1,0,1,100000000,132000,50,1.036164131421416,42226720.2216638,8897445.52874006,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3292_1G,0.0,1,0,1,100000000,22000,50,1.096730983393117,-19413449.4967556,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3295_1,0.0,1,0,1,100000000,21000,50,1.074829999999569,60945453.5714666,13578778.8652693,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3298_1,0.0,1,0,1,100000000,132000,50,1.032242711245116,9034795.14683699,-2777384.34246043,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3298_2,0.0,1,0,1,100000000,132000,50,1.032242711245116,215589.959704969,-1035490.15527964,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3300_1,0.0,1,0,1,100000000,132000,50,1.036187681214973,9711355.770814279,1985224.5426253,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3300_2,0.0,1,0,1,100000000,132000,50,1.036187681214973,9383884.82841873,3633487.44488149,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3301_1,0.0,1,0,1,100000000,66000,50,1.002409999998952,-29225533.4453657,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3303_4,0.0,1,0,1,100000000,11000,50,0.9978932441865105,8068436.566114849,6306807.00946413,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3303_5,0.0,1,0,1,100000000,11000,50,0.9978932441865105,7722424.42523511,6211128.14193964,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3303_6,0.0,1,0,1,100000000,11000,50,0.9978932441865105,7890358.83576768,6246412.08265722,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3304_1,0.0,1,0,1,100000000,11000,50,1.008651395721661,5015363.251665929,5695777.19756132,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3304_2,0.0,1,0,1,100000000,11000,50,1.008651395721661,5136189.99052751,6109631.91387327,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3304_3,0.0,1,0,1,100000000,11000,50,1.008651395721661,5056633.07541208,5931377.834332921,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3305_1,0.0,1,0,1,100000000,66000,50,1.033895997078276,7339121.910500339,2933203.3636258,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3305_2,0.0,1,0,1,100000000,66000,50,1.033895997078276,8055189.49516555,2883908.93030763,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3308_1,0.0,1,0,1,100000000,11000,50,0.9637916277304377,11498836.8817963,3741941.8591219,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3308_4,0.0,1,0,1,100000000,11000,50,0.9637916277304377,11236864.2038146,3919759.37288348,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3309_2,0.0,1,0,1,100000000,11000,50,0.9666584791979699,12290496.7724076,4575398.67767086,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_3309_3,0.0,1,0,1,100000000,11000,50,0.9666584791979699,13154247.741492,4509785.96353261,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
